url,http_status,content_type,title,canonical,h1_count,jsonld_script_count,inbound_html_pages,reachable_from_home
https://rangeljanitorial.com/locations/murrieta/ontario,200,text/html; charset=UTF-8,"Professional Janitorial Services in Ontario, CA | Rangel Janitorial | Rangel Janitorial",https://rangeljanitorial.com/locations/murrieta/ontario,1,2,0,False
https://rangeljanitorial.com/locations/murrieta/fontana,200,text/html; charset=UTF-8,"Professional Janitorial Services in Fontana, CA | Rangel Janitorial | Rangel Janitorial",https://rangeljanitorial.com/locations/murrieta/fontana,1,2,0,False
https://rangeljanitorial.com/locations/murrieta/rialto,200,text/html; charset=UTF-8,"Professional Janitorial Services in Rialto, CA | Rangel Janitorial | Rangel Janitorial",https://rangeljanitorial.com/locations/murrieta/rialto,1,2,0,False
https://rangeljanitorial.com/locations/murrieta/corona,200,text/html; charset=UTF-8,"Professional Janitorial Services in Corona, CA | Rangel Janitorial | Rangel Janitorial",https://rangeljanitorial.com/locations/murrieta/corona,1,2,0,False
https://rangeljanitorial.com/locations/murrieta/riverside,200,text/html; charset=UTF-8,"Professional Janitorial Services in Riverside, CA | Rangel Janitorial | Rangel Janitorial",https://rangeljanitorial.com/locations/murrieta/riverside,1,2,0,False
https://rangeljanitorial.com/locations/murrieta/moreno-valley,200,text/html; charset=UTF-8,"Professional Janitorial Services in Moreno Valley, CA | Rangel Janitorial | Rangel Janitorial",https://rangeljanitorial.com/locations/murrieta/moreno-valley,1,2,0,False
https://rangeljanitorial.com/locations/murrieta/san-jacinto,200,text/html; charset=UTF-8,"Professional Janitorial Services in San Jacinto, CA | Rangel Janitorial | Rangel Janitorial",https://rangeljanitorial.com/locations/murrieta/san-jacinto,1,2,0,False
https://rangeljanitorial.com/locations/murrieta/beaumont,200,text/html; charset=UTF-8,"Professional Janitorial Services in Beaumont, CA | Rangel Janitorial | Rangel Janitorial",https://rangeljanitorial.com/locations/murrieta/beaumont,1,2,0,False
https://rangeljanitorial.com/locations/murrieta/eastvale,200,text/html; charset=UTF-8,"Professional Janitorial Services in Eastvale, CA | Rangel Janitorial | Rangel Janitorial",https://rangeljanitorial.com/locations/murrieta/eastvale,1,2,0,False
https://rangeljanitorial.com/locations/walnut-creek/walnut-creek,200,text/html; charset=UTF-8,"Professional Janitorial Services in Walnut Creek, CA | Rangel Janitorial | Rangel Janitorial",https://rangeljanitorial.com/locations/walnut-creek/walnut-creek,1,2,1,True
https://rangeljanitorial.com/locations/walnut-creek/concord,200,text/html; charset=UTF-8,"Professional Janitorial Services in Concord, CA | Rangel Janitorial | Rangel Janitorial",https://rangeljanitorial.com/locations/walnut-creek/concord,1,2,1,True
https://rangeljanitorial.com/locations/walnut-creek/pleasant-hill,200,text/html; charset=UTF-8,"Professional Janitorial Services in Pleasant Hill, CA | Rangel Janitorial | Rangel Janitorial",https://rangeljanitorial.com/locations/walnut-creek/pleasant-hill,1,2,1,True
https://rangeljanitorial.com/locations/walnut-creek/lafayette,200,text/html; charset=UTF-8,"Professional Janitorial Services in Lafayette, CA | Rangel Janitorial | Rangel Janitorial",https://rangeljanitorial.com/locations/walnut-creek/lafayette,1,2,1,True
https://rangeljanitorial.com/locations/walnut-creek/danville,200,text/html; charset=UTF-8,"Professional Janitorial Services in Danville, CA | Rangel Janitorial | Rangel Janitorial",https://rangeljanitorial.com/locations/walnut-creek/danville,1,2,1,True
https://rangeljanitorial.com/locations/walnut-creek/martinez,200,text/html; charset=UTF-8,"Professional Janitorial Services in Martinez, CA | Rangel Janitorial | Rangel Janitorial",https://rangeljanitorial.com/locations/walnut-creek/martinez,1,2,1,True
https://rangeljanitorial.com/locations/walnut-creek/san-ramon,200,text/html; charset=UTF-8,"Professional Janitorial Services in San Ramon, CA | Rangel Janitorial | Rangel Janitorial",https://rangeljanitorial.com/locations/walnut-creek/san-ramon,1,2,1,True
https://rangeljanitorial.com/locations/walnut-creek/dublin,200,text/html; charset=UTF-8,"Professional Janitorial Services in Dublin, CA | Rangel Janitorial | Rangel Janitorial",https://rangeljanitorial.com/locations/walnut-creek/dublin,1,2,1,True
https://rangeljanitorial.com/locations/walnut-creek/livermore,200,text/html; charset=UTF-8,"Professional Janitorial Services in Livermore, CA | Rangel Janitorial | Rangel Janitorial",https://rangeljanitorial.com/locations/walnut-creek/livermore,1,2,0,False
https://rangeljanitorial.com/locations/walnut-creek/pleasanton,200,text/html; charset=UTF-8,"Professional Janitorial Services in Pleasanton, CA | Rangel Janitorial | Rangel Janitorial",https://rangeljanitorial.com/locations/walnut-creek/pleasanton,1,2,0,False
https://rangeljanitorial.com/locations/walnut-creek/orinda,200,text/html; charset=UTF-8,"Professional Janitorial Services in Orinda, CA | Rangel Janitorial | Rangel Janitorial",https://rangeljanitorial.com/locations/walnut-creek/orinda,1,2,0,False
https://rangeljanitorial.com/locations/walnut-creek/moraga,200,text/html; charset=UTF-8,"Professional Janitorial Services in Moraga, CA | Rangel Janitorial | Rangel Janitorial",https://rangeljanitorial.com/locations/walnut-creek/moraga,1,2,0,False
https://rangeljanitorial.com/locations/walnut-creek/alamo,200,text/html; charset=UTF-8,"Professional Janitorial Services in Alamo, CA | Rangel Janitorial | Rangel Janitorial",https://rangeljanitorial.com/locations/walnut-creek/alamo,1,2,0,False
https://rangeljanitorial.com/locations/walnut-creek/clayton,200,text/html; charset=UTF-8,"Professional Janitorial Services in Clayton, CA | Rangel Janitorial | Rangel Janitorial",https://rangeljanitorial.com/locations/walnut-creek/clayton,1,2,0,False
https://rangeljanitorial.com/locations/walnut-creek/antioch,200,text/html; charset=UTF-8,"Professional Janitorial Services in Antioch, CA | Rangel Janitorial | Rangel Janitorial",https://rangeljanitorial.com/locations/walnut-creek/antioch,1,2,0,False
https://rangeljanitorial.com/locations/walnut-creek/brentwood,200,text/html; charset=UTF-8,"Professional Janitorial Services in Brentwood, CA | Rangel Janitorial | Rangel Janitorial",https://rangeljanitorial.com/locations/walnut-creek/brentwood,1,2,0,False
https://rangeljanitorial.com/locations/walnut-creek/oakley,200,text/html; charset=UTF-8,"Professional Janitorial Services in Oakley, CA | Rangel Janitorial | Rangel Janitorial",https://rangeljanitorial.com/locations/walnut-creek/oakley,1,2,0,False
https://rangeljanitorial.com/locations/walnut-creek/pittsburg,200,text/html; charset=UTF-8,"Professional Janitorial Services in Pittsburg, CA | Rangel Janitorial | Rangel Janitorial",https://rangeljanitorial.com/locations/walnut-creek/pittsburg,1,2,0,False
https://rangeljanitorial.com/locations/walnut-creek/bay-point,200,text/html; charset=UTF-8,"Professional Janitorial Services in Bay Point, CA | Rangel Janitorial | Rangel Janitorial",https://rangeljanitorial.com/locations/walnut-creek/bay-point,1,2,0,False
https://rangeljanitorial.com/locations/walnut-creek/el-cerrito,200,text/html; charset=UTF-8,"Professional Janitorial Services in El Cerrito, CA | Rangel Janitorial | Rangel Janitorial",https://rangeljanitorial.com/locations/walnut-creek/el-cerrito,1,2,0,False
https://rangeljanitorial.com/blog/office-cleaning-best-practices,200,text/html; charset=UTF-8,Office Cleaning Best Practices for a Healthier Workplace | Rangel Janitorial,https://rangeljanitorial.com/blog/office-cleaning-best-practices,1,2,15,True
https://rangeljanitorial.com/blog/janitorial-services-sacramento,200,text/html; charset=UTF-8,Janitorial Services in Sacramento: What to Look For | Rangel Janitorial,https://rangeljanitorial.com/blog/janitorial-services-sacramento,1,2,5,True
https://rangeljanitorial.com/blog/commercial-cleaning-murrieta,200,text/html; charset=UTF-8,Commercial Cleaning in Murrieta & the Inland Empire | Rangel Janitorial,https://rangeljanitorial.com/blog/commercial-cleaning-murrieta,1,2,12,True
https://rangeljanitorial.com/blog/day-porter-benefits,200,text/html; charset=UTF-8,The Benefits of Day Porter Services for Your Facility | Rangel Janitorial,https://rangeljanitorial.com/blog/day-porter-benefits,1,2,11,True
https://rangeljanitorial.com/blog/electrostatic-disinfection-explained,200,text/html; charset=UTF-8,Electrostatic Disinfection Explained: How It Works | Rangel Janitorial,https://rangeljanitorial.com/blog/electrostatic-disinfection-explained,1,2,5,True
https://rangeljanitorial.com/blog/floor-care-vct-strip-wax,200,text/html; charset=UTF-8,Floor Care 101: VCT Strip and Wax Guide | Rangel Janitorial,https://rangeljanitorial.com/blog/floor-care-vct-strip-wax,1,2,4,True
https://rangeljanitorial.com/blog/medical-facility-cleaning-standards,200,text/html; charset=UTF-8,Medical Facility Cleaning Standards You Should Know | Rangel Janitorial,https://rangeljanitorial.com/blog/medical-facility-cleaning-standards,1,2,6,True
https://rangeljanitorial.com/blog/fitness-center-cleaning-guide,200,text/html; charset=UTF-8,Fitness Center Cleaning: A Complete Guide | Rangel Janitorial,https://rangeljanitorial.com/blog/fitness-center-cleaning-guide,1,2,1,False
https://rangeljanitorial.com/blog/choosing-commercial-cleaning-company,200,text/html; charset=UTF-8,How to Choose the Right Commercial Cleaning Company | Rangel Janitorial,https://rangeljanitorial.com/blog/choosing-commercial-cleaning-company,1,2,8,True
https://rangeljanitorial.com/blog/office-cleaning-best-practices-guide,200,text/html; charset=UTF-8,Office Cleaning Best Practices: A Complete Guide | Rangel Janitorial,https://rangeljanitorial.com/blog/office-cleaning-best-practices-guide,1,2,3,True
